"CountyID";"NetPayment";"Removals"
1;4589866.14;74
2;4359187.71;32
3;48398136.33;353
4;1015374.17;1
5;685094986.75;2072
6;219119.23;9
7;85454558.76;351
8;162127929.26;469
9;404193991.12;2049
10;4386216.69;35
11;563580.18;6
12;21764978.42;92
13;7062888.89;63
14;311174776.07;261
15;39696258.98;59
16;1656058.11;3
17;4449381.14;105
18;37584423.65;112
19;69980289.99;139
20;8768762.21;58
21;77261171.88;203
22;9407882.29;75
23;1616970.38;20
24;7074166.56;20
25;2453678.88;29
26;7351447.26;33
27;7041500.33;21
28;565935.52;14
29;1542494.75;45
30;95237466.25;256
31;5678056.17;44
32;6552799.16;93
33;14763343.23;71
34;544704.39;1
35;113019167.75;103
36;171052732.79;430
37;563311907.53;685
38;48767593.23;204
39;2053428.21;12
40;204365.95;1
41;12522905.81;145
42;3439228.76;24
43;267652933.28;752
44;1172262.7;10
45;2970899.66;35
46;1355483.31;22
47;1437212.69;14
48;11956397.07;10
49;811445.03;16
50;6704419.78;106
51;156592637.81;266
52;10016072.35;106
53;6491374.0;54
54;103414749.1;189
55;847695850.18;1632
56;78321705.89;334
57;70267207.29;179
58;4483462.91;23
59;3868245.54;84
60;666195.18;16
61;54724582.53;418
62;34876608.37;125
63;4006582.55;4
64;59713843.01;828
65;1211923.13;23
66;542295.82;2
67;13200347.73;108
68;3262576.22;7
69;2425557.69;98
70;10876831.43;41
71;4211199.48;38
72;1113866.27;23
73;9310747.18;84
74;6877442.42;5
76;4751443.24;17
77;691107.4;5
78;2657277.72;26
79;109770.64;1
80;1229141.88;19
81;1765839.72;4
82;2251912.83;29
83;6590114.76;31
84;12564088.61;123
85;509572.79;13
86;343454.45;7
87;6800791.99;39
88;4847161.13;74
89;1637786.82;10
90;48412296.94;82
91;1324951.26;10
92;1869350.34;62
93;53760829.6;229
94;2166891.66;13
95;73215541.56;467
96;33913957.93;129
97;34554201.33;177
98;16521351.37;86
99;4110489.57;12
100;11740848.58;166
101;2044388.98;45
102;224743.31;1
104;6637940.36;55
105;3097941.15;134
106;3072319.08;19
107;3576080.46;28
108;4429515.63;64
109;3895248.54;39
110;10985.99;2
111;8881621.11;67
112;1190345.28;43
113;1265485.09;8
114;451723.61;6
115;23780768.72;78
116;448242.97;2
117;46069838.6;285
118;128466.88;4
119;1133308.28;46
120;579060.93;26
121;1016960.71;24
122;744510.31;23
123;2630873.9;9
124;1199478.96;25
125;25047042.43;50
126;6425769.55;30
127;66983718.78;345
128;3501061.52;19
129;155296.56;5
130;7183291.14;149
131;4959242.62;46
132;2275149.12;1
134;9025319.79;73
135;1934791.91;44
136;352831.1;9
137;85744.17;4
138;684191.91;8
139;2679729.23;8
140;895270.44;40
141;2584245.56;14
142;20200893.67;74
143;6366193.73;26
146;141960.9;3
147;3039178.15;19
148;527912.56;1
149;6579092.88;18
150;5101057.56;10
151;6864549.32;33
152;1357329.06;7
153;172436.92;2
154;1723061.87;8
155;41914430.31;128
156;147268.97;1
157;6262284.59;77
158;5370662.35;49
159;431708.6;9
160;998589.83;9
161;2398908.47;26
162;762358.03;5
163;2687875.51;15
164;28997204.11;53
165;5028182.96;29
166;416423.3;7
167;4854243.33;22
168;5882615.71;5
169;3050698.86;39
170;9684994.42;87
171;2137550.24;10
172;2190309.03;21
173;1228284.9;12
174;69632360.28;161
175;448769.77;7
176;728659.24;2
177;995820.87;29
178;3155439.51;18
179;3597196.76;54
180;2728885.21;18
181;5492063.8;13
182;610824.98;10
183;937865.81;24
185;3280263.63;8
186;9943839.46;73
187;506225.19;13
188;704291.71;16
189;610880.49;10
190;6570264.44;69
191;2504948.85;22
192;9851269.91;56
193;10956796.42;40
195;1263088.0;16
196;659594.44;17
197;1990503.73;27
198;3492854.04;12
199;4813544.5;53
200;8245867.95;77
201;1849639.23;21
202;4607577.43;24
203;1130796.07;56
204;3914520.88;69
205;1696321.25;15
206;1990015.6;8
207;916937.18;2
208;252007.21;8
209;114045.33;2
210;837177.48;15
211;166461.44;4
214;68084225.82;74
215;6259181.03;36
216;793987.7;6
218;801972.31;8
219;723717.84;11
220;279046.61;16
222;119482.56;1
223;3217607.3;15
224;1048481.96;28
225;3621952.88;5
226;1012354.49;3
228;517555.71;13
229;243806.5;3
230;209668.45;1
231;3297355.23;20
232;28724847.36;147
233;2868514.7;27
234;264341.7;4
235;3185848.52;28
236;820793.73;7
238;298477.68;1
239;161051.69;3
240;4156.52;2
242;1882745.49;12
243;25386121.15;61
244;289226.09;4
